Degree,Institution,Year,Description
Master of Computer Applications - MCA,Jain (Deemed-to-be University),2023-2025,"Computer Science (Storage and Cloud Technology)"
Bachelor of Computer Applications - BCA,"St. Claret College, India",2020-2023,Computer Science
